username,password_simulada
Indiana,Casaleonarmariogalleta!
luis,atuandobotellalibro!Azul
sara,AustriaMarColagenoAzufre#
andres,catapultaMontes4890!
francisco,p0l3l5h3x7g298k#
pablo975,p975p975p975!P
leonelm178,armandolegos.coM!
vanesalopez,"pañuelo,lona,martillo,Cajon"
jane,Pelicula!tazatermocalculadora
javier,Pelota#378098328
armando,leonPajaronuez#
antonio,Leolibrostodoeldia!
maria,Cielo!lluvia#46
pedro,F87yr1oijfn83!
andres123,manzanaLiebreArmarioCelular!
anonimo123,CajonReglaManoRompecabezas!2
